ETF,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
VONE,0.307687627890982,0.1371644872677219,0.56876204238921,0.3316027088036117,0.2801396149087624,0.7461903452069865,0.6499506124872426,0.8938
VOX,0.3941125708364633,0.1743289745354439,0.7371146435452793,0.3133182844243792,0.2679017584284606,0.1,0.7314309792408278,0.8931
PPA,0.2932156581238849,0.7813489332415693,0.8336946050096339,0.1812641083521445,0.2993563968329702,0.1149773071104387,0.677013875018127,0.8918
GSUS,0.3075117710775075,0.1495526496902959,0.5829720616570327,0.3316027088036117,0.182788946307418,0.6171008114427176,0.304176186189555,0.8844
SPMD,0.4418314986307339,0.1,0.4211223506743737,0.3783295711060949,0.5214045430050149,0.7809352221152522,0.2049951159717301,0.8828
VONV,0.2321733032872487,0.1371644872677219,0.4346098265895953,0.4697516930022574,0.466582893311857,1.0,0.7688155479004151,0.8778
VTHR,0.3175469305211966,0.1371644872677219,0.5610549132947977,0.3356659142212189,0.2104434887700709,0.7006890386466784,0.971672636034552,0.8628
XLF,0.27655324435121,0.1619408121128699,0.5092726396917149,0.4250564334085779,0.943341413405758,0.1036638701691651,0.1,0.8618
XLI,0.3246000200421448,0.1619408121128699,0.6015173410404624,0.3580135440180587,0.8578028398698913,0.1247558795213863,0.1,0.8592
SCHM,0.4239405343217455,0.112388162422574,0.4432803468208092,0.3864559819413092,0.4729081806823782,0.8901952963828907,0.3871554160726941,0.8565
SPHQ,0.2545423054044404,0.2486579490708878,0.5653901734104047,0.3417607223476298,0.5028875751312709,0.6436514922294043,0.8234280132539121,0.8554
IWX,0.1786674704722767,0.3105987611837578,0.4389450867052022,0.4372460496613995,0.2052737388894495,1.0,0.9754337482249226,0.8514
VOOG,0.4204861213254769,0.1495526496902959,0.6894267822736031,0.209706546275395,0.4405674265459714,0.4059826708843349,0.7478725063410283,0.8485
SPY,0.3068447542085386,0.1805230557467309,0.5634633911368016,0.3316027088036117,1.0,0.6991170402970704,0.2534397513386616,0.846
SCHA,0.533914074881158,0.112388162422574,0.4702552986512524,0.3376975169300226,0.6207577294015435,0.8190840324577086,0.7942912960323085,0.846
DLN,0.1690996053537972,0.4097040605643497,0.4454479768786127,0.4880361173814899,0.2603999915031367,0.9330477238344104,0.9810450452422452,0.8394
USCA,0.3082717264934564,0.1495526496902959,0.5506984585741811,0.3519187358916479,0.175538322206456,0.7520698665933158,0.406517509993789,0.8387
JMOM,0.3378031265025347,0.2114934618031659,0.6622109826589595,0.2787810383747178,0.1499450755189701,0.5679975244120478,0.7466149716671638,0.8312
VOE,0.2934130879419374,0.1247763248451479,0.4158236994219653,0.5042889390519187,0.4407324161360181,1.0,0.4107563540250138,0.8304
VONG,0.4430172120224944,0.1371644872677219,0.6687138728323699,0.2036117381489842,0.6230855141089049,0.3474597716957777,0.6419621480968707,0.8297
LRGF,0.3184350112900506,0.1619408121128699,0.5704479768786128,0.3498871331828442,0.1993901427204536,0.6350983358547654,1.0,0.8227
VXF,0.5195038364567313,0.1247763248451479,0.5121628131021194,0.3397291196388262,0.4888181738054395,0.8611566497043046,0.3947301745390271,0.8144
IJH,0.4430863620553404,0.1247763248451479,0.4259393063583815,0.3681715575620767,0.9579901780057772,0.8153087608306971,0.402692371886603,0.8136
ITA,0.3230837027311087,0.5335856847900896,0.7595134874759153,0.199548532731377,0.4148889577514315,0.100198047036171,0.3650352826580059,0.8136
RWL,0.1927285196439135,0.5459738472126636,0.4993978805394991,0.3803611738148984,0.3071832066670562,0.9833516710218676,0.8807919513403032,0.8057
SCHC,0.2817498556582655,0.1619408121128699,0.4418352601156069,0.8415349887133183,0.2887011373011163,0.960501994223628,0.2148140649069572,0.8051
DFUS,0.3166437807235391,0.1743289745354439,0.5690028901734104,0.2970654627539504,0.4417186653447619,0.7295172603493327,0.406517509993789,0.8026
XLV,0.2665873121565176,0.1619408121128699,0.1930394990366088,0.4474040632054177,0.8868883329159837,0.1,0.1,0.8015
FIDU,0.3728401687333662,0.1668960770818995,0.6272880539499037,0.3112866817155756,0.1396196732777972,0.1247558795213863,0.7161681856861034,0.7996
DYNF,0.3167404672236823,0.3849277357192018,0.6846098265895953,0.309255079006772,0.6368546356246609,0.4552097373126117,0.3832137179631003,0.7956
VOOV,0.2557193765270211,0.1495526496902959,0.4126926782273603,0.4656884875846502,0.255408088001666,1.0,0.8154182068912681,0.7951
SNPE,0.3151653290248886,0.1867171369580179,0.5771917148362236,0.3133182844243792,0.1907489447414184,0.5018498143309035,0.7518371881130688,0.7906
GSLC,0.3001471262677025,0.1743289745354439,0.5410645472061657,0.3153498871331829,0.3900823735404868,0.6818374363911428,0.2473654976920572,0.7877
USMC,0.305401489315813,0.2114934618031659,0.5870664739884394,0.2706546275395034,0.1913650714437619,0.5447641314812267,0.1848088935829067,0.7875
FNDF,0.2337483642698917,0.3725395732966278,0.5273362235067438,0.7602708803611739,0.539705905286513,1.0,0.5417747218019192,0.7859
