ETF,DEA_Score,In_Risk,In_Cost,Out_CAGR,Out_Div,Out_Liquidity,Out_Diversity
VONV,0.8778,0.2321733032872487,0.1371644872677219,0.4346098265895953,0.4697516930022574,0.466582893311857,1.0
VTHR,0.8628,0.3175469305211966,0.1371644872677219,0.5610549132947977,0.3356659142212189,0.2104434887700709,0.7006890386466784
XLF,0.8618,0.27655324435121,0.1619408121128699,0.5092726396917149,0.4250564334085779,0.943341413405758,0.1036638701691651
XLI,0.8592,0.3246000200421448,0.1619408121128699,0.6015173410404624,0.3580135440180587,0.8578028398698913,0.1247558795213863
SCHM,0.8565,0.4239405343217455,0.112388162422574,0.4432803468208092,0.3864559819413092,0.4729081806823782,0.8901952963828907
SPHQ,0.8554,0.2545423054044404,0.2486579490708878,0.5653901734104047,0.3417607223476298,0.5028875751312709,0.6436514922294043
IWX,0.8514,0.1786674704722767,0.3105987611837578,0.4389450867052022,0.4372460496613995,0.2052737388894495,1.0
VOOG,0.8485,0.4204861213254769,0.1495526496902959,0.6894267822736031,0.209706546275395,0.4405674265459714,0.4059826708843349
SPY,0.846,0.3068447542085386,0.1805230557467309,0.5634633911368016,0.3316027088036117,1.0,0.6991170402970704
SCHA,0.846,0.533914074881158,0.112388162422574,0.4702552986512524,0.3376975169300226,0.6207577294015435,0.8190840324577086
DLN,0.8394,0.1690996053537972,0.4097040605643497,0.4454479768786127,0.4880361173814899,0.2603999915031367,0.9330477238344104
USCA,0.8387,0.3082717264934564,0.1495526496902959,0.5506984585741811,0.3519187358916479,0.175538322206456,0.7520698665933158
JMOM,0.8312,0.3378031265025347,0.2114934618031659,0.6622109826589595,0.2787810383747178,0.1499450755189701,0.5679975244120478
VOE,0.8304,0.2934130879419374,0.1247763248451479,0.4158236994219653,0.5042889390519187,0.4407324161360181,1.0
VONG,0.8297,0.4430172120224944,0.1371644872677219,0.6687138728323699,0.2036117381489842,0.6230855141089049,0.3474597716957777
LRGF,0.8227,0.3184350112900506,0.1619408121128699,0.5704479768786128,0.3498871331828442,0.1993901427204536,0.6350983358547654
VXF,0.8144,0.5195038364567313,0.1247763248451479,0.5121628131021194,0.3397291196388262,0.4888181738054395,0.8611566497043046
IJH,0.8136,0.4430863620553404,0.1247763248451479,0.4259393063583815,0.3681715575620767,0.9579901780057772,0.8153087608306971
ITA,0.8136,0.3230837027311087,0.5335856847900896,0.7595134874759153,0.199548532731377,0.4148889577514315,0.100198047036171
RWL,0.8057,0.1927285196439135,0.5459738472126636,0.4993978805394991,0.3803611738148984,0.3071832066670562,0.9833516710218676
SCHC,0.8051,0.2817498556582655,0.1619408121128699,0.4418352601156069,0.8415349887133183,0.2887011373011163,0.960501994223628
DFUS,0.8026,0.3166437807235391,0.1743289745354439,0.5690028901734104,0.2970654627539504,0.4417186653447619,0.7295172603493327
XLV,0.8015,0.2665873121565176,0.1619408121128699,0.1930394990366088,0.4474040632054177,0.8868883329159837,0.1
FIDU,0.7996,0.3728401687333662,0.1668960770818995,0.6272880539499037,0.3112866817155756,0.1396196732777972,0.1247558795213863
DYNF,0.7956,0.3167404672236823,0.3849277357192018,0.6846098265895953,0.309255079006772,0.6368546356246609,0.4552097373126117
VOOV,0.7951,0.2557193765270211,0.1495526496902959,0.4126926782273603,0.4656884875846502,0.255408088001666,1.0
SNPE,0.7906,0.3151653290248886,0.1867171369580179,0.5771917148362236,0.3133182844243792,0.1907489447414184,0.5018498143309035
